,Datetime,Tweet Id,Text,Replies,Likes,Retweets,Quote Retweets,URL,Intentionally left blank,Username,Display Name,Raw Description,Rendered Description,Verified?,Date Created,Followers Count
20,2018-06-14 02:48:29+00:00,1007092384260186117,"@gmanews Itong KADAMAY at China, may pagkakaparehas, parehas utak komunista (Mao at Joma), parehas nang-aagaw, ang China, nang-aagaw ng mga isla samantala ang KADAMAY nang-aagaw ng mga pabahay ng gobyerno at ang panghuli, parehas kinukunsinti ni Du30!",0,1,1,0,https://twitter.com/Abuka1023/status/1007092384260186117, ,Abuka1023,Mark Garcia,,,False,2014-06-13 13:48:03+00:00,23
21,2018-06-01 02:57:13+00:00,1002383536676978689,"Ito pong mga members ng Kadamay, tinulongan po ng mga komunista magkaroon ng pabahay. By force po, kinuha mga housing units ng gobyerno. Ngayon po, ginagamit po sila kontra Duterte, pinipiraan, pinabayad ng nakuha nilang pabahay pero sa mga kumunista magbayad.

Yan po nakuha nyo!",0,0,1,0,https://twitter.com/kotawinters/status/1002383536676978689, ,kotawinters,jane abao,"Committed to responsible journalism. Editorial Board Member, SAGE Open","Committed to responsible journalism. Editorial Board Member, SAGE Open",False,2008-06-03 12:10:41+00:00,12493
22,2018-07-26 06:45:55+00:00,1022372426309455872,@Dutertenomics @DuterteChange @PTV ....pangkalahatan at panmatagalang proyekto ang nakasalalay diyan...at hindi yang mga putang inang Kadamay ng komunista ang sisira dian...pilipino ako at sawa na sa pag mumukha ng mga liberal at dilawan sa EDSA...yang mga yan pansarili lng ang alam.,0,0,0,0,https://twitter.com/andrespolicarp2/status/1022372426309455872, ,andrespolicarp2,andres policarpio,davao del sur👊full time househusband.,davao del sur👊full time househusband.,False,2017-08-07 06:44:13+00:00,4
23,2018-07-23 01:01:16+00:00,1021198525177085953,"Salamat sa KADAMAY, dinamay nila ang iba pang rallyistang komunista sa pagkamuhi ng taong bayan dahil sa kanilang kabastusan at pekeng pinaglalaban. With friends like that, who needs enemies. Keep up the good work.",1,6,3,0,https://twitter.com/mydutertestory/status/1021198525177085953, ,mydutertestory,My Duterte Story,Jesuit Educated-Partner for Change; Opinions mine alone.,Jesuit Educated-Partner for Change; Opinions mine alone.,False,2015-12-02 22:15:40+00:00,6725
24,2018-08-03 07:42:03+00:00,1025285656006733826,"Secretary Bello: Nagkagulo sa NutriAsia dahil sa KADAMAY 

Philippine Army: May mga komunista kasi

NutriAsia PR: We beg for fairness 

What really happened: 

https://t.co/kYvsdQ3xCH",0,7,4,0,https://twitter.com/tonyocruz/status/1025285656006733826, ,tonyocruz,Tonyo Cruz,Filipino 🇵🇭 @manilabulletin columnist,Filipino 🇵🇭 @manilabulletin columnist,True,2007-04-13 17:55:15+00:00,32921
25,2018-09-23 22:50:30+00:00,1043996055094812672,"The Partido Komunista ng Pilipinas is a revolutionary organization formed by Jose Maria Sison on December 26, 1968. It's 50th year is this coming December. Expect chaos from them using students (Kadamay) converted thru teach-ins. Expect aklasan or strike of workers in companies.",8,22,17,2,https://twitter.com/kotawinters/status/1043996055094812672, ,kotawinters,jane abao,"Committed to responsible journalism. Editorial Board Member, SAGE Open","Committed to responsible journalism. Editorial Board Member, SAGE Open",False,2008-06-03 12:10:41+00:00,12493
26,2019-08-23 06:24:32+00:00,1164785474709286912,"@teddycasino TUMUTULONG ba yan o NANGHIHIKAYAT ang @sarahelago na yan na HUWAG susunod, LUMABAN sa PAMAHALAAN. Una sa lahat, pagaari ba ng mga yan ang kinatitirikan ng kanilang mga bahay. Bakit ang mga komunista, NANGUNGUHA na ng BAHAY katulad ng Kadamay, NANGUNGUHA pa ng mga BATA?",1,8,1,0,https://twitter.com/ninongboy/status/1164785474709286912, ,ninongboy,RnCASHsr21,"""The moment truth is asserted, it becomes false.""
              Lao Tzu (Tao Te Ching)","""The moment truth is asserted, it becomes false.""
              Lao Tzu (Tao Te Ching)",False,2012-05-01 02:29:18+00:00,970
27,2019-10-21 22:52:52+00:00,1186415079488507906,"Kadamay at mga Pambansang Reklamador na Komunista.. 
Pasok!",2,13,0,0,https://twitter.com/deanfortun168/status/1186415079488507906, ,deanfortun168,Dean Fortun 🇵🇭,Pragmatist. Realist. Futurist. Quid quid latet adparebit. Nil inultum remanebit.,Pragmatist. Realist. Futurist. Quid quid latet adparebit. Nil inultum remanebit.,False,2016-10-10 13:02:13+00:00,4972
28,2019-11-01 05:33:06+00:00,1190139679737122816,"sa Bacolod at ang tagapagsalita ng Gabriela Metro Manila na si Cora Agovida at kanyang asawang si Mickael na kasapi ng Kadamay Metro Manila. 

Itong mga pag-atakeng ito ay alinsunod sa EO Blg. 70 ng pasistang rehimen na naglalayong supilin ang mga komunista sa bansa na (2/n)",1,1,1,0,https://twitter.com/ABMuralla/status/1190139679737122816, ,ABMuralla,Anakbayan Muralla #RejectMarcosDuterte,"Pag-aralan ang lipunan at paglingkuran ang sambayanan. Lumalakas, lumalawak, lumalaban! #SumaliSaAnakbayan ✊","Pag-aralan ang lipunan at paglingkuran ang sambayanan. Lumalakas, lumalawak, lumalaban! #SumaliSaAnakbayan ✊",False,2019-09-07 11:15:40+00:00,430
29,2019-12-25 01:19:42+00:00,1209644858131939329,@AlisonPereiraPH @inquirerdotnet Mga komunista/dilawang KADAMAY yang mga squatter na naninirador na yan. Inutusan ang mga yan ng pamunuan ng LP-CPP-NPA.,0,3,1,0,https://twitter.com/rod_pinochet/status/1209644858131939329, ,rod_pinochet,Rodrigo Suharto Pinochet 👊 🇵🇭 🙋‍♂️,"Proud DDS TROLL ♥️🇵🇭 💚Anti-Dilawan/Anti-CPP-NPA-NDF
#BBMSARA ❤️ 🇵🇭 💚
#YesToAntiTerrorismLaw 👊 🇵🇭🙋‍♂️
#FreeGenPalparan 👊 🇵🇭 🙋‍♂️","Proud DDS TROLL ♥️🇵🇭 💚Anti-Dilawan/Anti-CPP-NPA-NDF
#BBMSARA ❤️ 🇵🇭 💚
#YesToAntiTerrorismLaw 👊 🇵🇭🙋‍♂️
#FreeGenPalparan 👊 🇵🇭 🙋‍♂️",False,2018-12-20 07:40:55+00:00,580
